,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
959,256,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,2617 S. WABASH AVE.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,256Taxi
1230,1616,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,AMBROSLY INC,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,1616Taxi
1307,4796,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,2617 S. WABASH AVE.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,4796Taxi
1461,13637,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",8801 S. GREENWOOD AVE.,CHICAGO,IL,60619.0,,,13637Medicar
1591,5160,REVOKED,VPG,MV-1,2011.0,WHITE,Compressed Natural Gas,N,DESIREE AND MONIQUE CAB CORP.,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,5160Taxi
1613,1803,REVOKED,DODGE,CARAVAN,2011.0,WHITE,Compressed Natural Gas,N,WEST END TAXI CORP.,9696 W. FOSTER AVE.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,1803Taxi
1619,862,VIOLATION,TOYOTA,COROLLA,2017.0,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,2945 W. PETERSON AVE.,CHICAGO,IL,60659.0,Top Cab Association,Top Cab Corp.,862Taxi
1727,2528,VIOLATION,FORD,ESCAPE,2012.0,WHITE,Compressed Natural Gas,N,MCCAB I CORP.,5136 N. WESTERN AVE.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,2528Taxi
1796,4499,VIOLATION,CHEVROLET,IMPALA,2009.0,WHITE,Compressed Natural Gas,N,INF CAB CORPORATION,6117 N. SEELEY AVE.,CHICAGO,IL,60659.0,DIS-AFFILIATED,Owner Manager,4499Taxi
1921,2394,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,MONETA TAXI INC.,2617 S. WABASH AVE.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,2394Taxi
2223,6955,VIOLATION,DODGE,GRAND CARAVAN,2013.0,WHITE,Compressed Natural Gas,Y,MIRZASULEMAN CORP,9696 W. FOSTER AVE.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6955Taxi
2397,540,FORECLOSURE,DODGE,CARAVAN,2012.0,GREEN,Compressed Natural Gas,Y,LIBRA TAXI INC,6500 N. WESTERN AVE.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",540Taxi
2941,6409,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO, INC.",2617 S. WABASH AVE.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,6409Taxi
2968,593,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,SLSJETS III CAB CORP.,2617 S. WABASH AVE.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,593Taxi
3307,1112,VIOLATION,TOYOTA,COROLLA,2017.0,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,2945 W. PETERSON AVE.,CHICAGO,IL,60659.0,Top Cab Association,Top Cab Corp.,1112Taxi
3448,6715,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,TRIA HACKING CORP.,9696 W. FOSTER AVE.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6715Taxi
4373,13632,INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",8801 S. GREENWOOD AVE.,CHICAGO,IL,60619.0,,,13632Medicar
4443,6418,VIOLATION,FORD,ESCAPE,2010.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6418Taxi
4454,4980,VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"TUDOR CITY HOLDINGS, INC.",3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,4980Taxi
