,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
1,70706,ACTIVE,CADILLAC,ESCALADE,2024.0,BLACK,Diesel,N,HOLO BLACK LUXURY INC,5054 N. DELPHIA AVE.,CHICAGO,IL,60656.0,,,70706Livery
17,18536,INACTIVE,FREIGHLINE,TROLLEY,2005.0,RED,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630.0,,,18536Charter Sightseeing
107,13922,INACTIVE,CHAMPION,TROLLEY,2001.0,RED,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630.0,,,13922Charter Sightseeing
393,16000,INACTIVE,THOMAS,TROLLEY,2005.0,GREEN,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630.0,,,16000Charter Sightseeing
520,19210,INACTIVE,FREIGHTLINER,TRANSIT BUS,2002.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609.0,,,19210Charter Sightseeing
566,16003,INACTIVE,THOMAS,TROLLEY,2005.0,GREEN,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630.0,,,16003Charter Sightseeing
584,50000,INACTIVE,FREIGHTLINER,X LINE SHUTTLE,2000.0,GREEN,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630.0,,,50000Charter Sightseeing
881,15065,INACTIVE,CHAMPION,TROLLEY,1993.0,ORANGE,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630.0,,,15065Charter Sightseeing
932,19175,INACTIVE,MCI,4505,2007.0,BLACK/WHITE/RED/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609.0,,,19175Charter Sightseeing
1422,1000009,INACTIVE,CHAMPION,TROLLEY,2000.0,MAROON,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630.0,,,1000009Charter Sightseeing
1459,79331,INACTIVE,,,2002.0,RED/CREAM,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609.0,,,79331Charter Sightseeing
2005,4893,ACTIVE,MERCEDES,SPRINTER,2013.0,WHITE,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126.0,,,4893Ambulance
2021,16783,INACTIVE,ALEXANDER DENNIS LTD,ENVIRO 400,2013.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609.0,,,16783Charter Sightseeing
2080,20614,INACTIVE,GILLIG,TRANSIT,2016.0,MAROON,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609.0,,,20614Charter Sightseeing
2457,1000013,INACTIVE,CHAMPION,TROLLEY,1998.0,RED,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630.0,,,1000013Charter Sightseeing
2723,4885,ACTIVE,MERCEDES,SPRINTER,2012.0,WHITE/RED,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126.0,,,4885Ambulance
2729,23340,INACTIVE,,,2006.0,YELLOW/BLUE,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609.0,,,23340Charter Sightseeing
2885,10714,INACTIVE,FREIGHTLINER,GLAVAL LEGACY,2015.0,BLACK,Diesel,N,JKS LIMOUSINES LLC.,120 W. MADISON ST.,CHICAGO,IL,60602.0,,,10714Charter Sightseeing
3026,13754,INACTIVE,INTL,CARRYALL,1997.0,WHITE,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630.0,,,13754Charter Sightseeing
3029,17878,INACTIVE,LEYLAND,OLYMPIAN,1988.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609.0,,,17878Charter Sightseeing
3377,91828,INACTIVE,,,2006.0,RED/CREAM,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609.0,,,91828Charter Sightseeing
3507,15052,INACTIVE,CHAMPION,TROLLEY,1998.0,RED,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630.0,,,15052Charter Sightseeing
3857,16787,INACTIVE,ALEXANDER DENNIS LTD,ENVIPO400,2012.0,BURGUNDY,Diesel,N,CHICAGO GRAY LINE LTD,630 W. 41ST ST.,CHICAGO,IL,60609.0,,,16787Charter Sightseeing
3984,17971,INACTIVE,CHEVROLET,TROLLEY,1998.0,RED,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630.0,,,17971Charter Sightseeing
4096,17291,INACTIVE,CHAMPION,TROLLEY,1990.0,GREEN,Diesel,N,SCT USA INC,4455 N. KNOX AVE.,CHICAGO,IL,60630.0,,,17291Charter Sightseeing
4423,5655,ACTIVE,MERCEDES,SPRINTER,2015.0,WHITE,Diesel,N,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",395 W. LAKE ST.,ELMHURST,IL,60126.0,,,5655Ambulance
4504,14086,INACTIVE,FREIGHLINE,M2 106,2014.0,BLACK,Diesel,N,Amida Inc,5155 N. EAST RIVER RD.,CHICAGO,IL,60656.0,,,14086Charter Sightseeing
