,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
291,9067,ACTIVE,TESLA,Y,2021.0,BLACK,Electric,N,RIZ LIMO TRANSPORTATION CO.,3760 N. OKETO AVE.,CHICAGO,IL,60634.0,,,9067Livery
1540,3861,SURRENDER,TESLA,Y,2020.0,GREEN,Electric,N,SCORPIO INC.,6500 N. WESTERN AVE.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",3861Taxi
1541,1358,ACTIVE,KIA,NIRO,2023.0,DARK GREEN,Electric,N,TEZ CAB CO,4208 N. PULASKI RD.,CHICAGO,IL,60641.0,Independent1,Owner-Operator,1358Taxi
1863,9872,VIOLATION,TUK TUK,L5 LIMO GT,2018.0,WHITE,Electric,N,TUK TUK CHICAGO LLC,501 N. WELLS ST.,CHICAGO,IL,60654.0,,,9872Low Speed Electric
3279,126,ACTIVE,MAINSTREET,SMASHCAB,2008.0,BLACK,Electric,N,"AUSTIN PEDICAB COMPANY, LLC",1015 N. HALSTED ST.,CHICAGO,IL,60642.0,,,126Pedicab
3505,9873,VIOLATION,TUK TUK,L5 LIMO GT,2018.0,WHITE,Electric,N,TUK TUK CHICAGO LLC,501 N. WELLS ST.,CHICAGO,IL,60654.0,,,9873Low Speed Electric
3892,4512,FORECLOSURE,TESLA,MODEL 3,2021.0,GREEN,Electric,N,"NICKI & EMMY, INC.",6500 N. WESTERN AVE.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",4512Taxi
3901,9876,VIOLATION,TUK TUK,L5 LIMO GT,2018.0,WHITE,Electric,N,TUK TUK CHICAGO LLC,501 N. WELLS ST.,CHICAGO,IL,60654.0,,,9876Low Speed Electric
4441,9067,ACTIVE,TESLA,Y,2021.0,BLACK,Electric,N,RIZ LIMO TRANSPORTATION CO.,3760 N. OKETO AVE.,CHICAGO,IL,60634.0,,,9067Livery
4744,9875,VIOLATION,TUK TUK,L5 LIMO GT,2018.0,WHITE,Electric,N,TUK TUK CHICAGO LLC,501 N. WELLS ST.,CHICAGO,IL,60654.0,,,9875Low Speed Electric
4884,7560,VIOLATION,TESLA,Y,2023.0,BLACK,Electric,N,CLEARPATH MOBILITY LLC,5485 S. ELLIS AVE.,CHICAGO,IL,60615.0,,,7560Livery
5608,1358,ACTIVE,KIA,NIRO,2023.0,DARK GREEN,Electric,N,TEZ CAB CO,4208 N. PULASKI RD.,CHICAGO,IL,60641.0,Independent1,Owner-Operator,1358Taxi
5668,8730,ACTIVE,LUCID,AIR TOURING,2023.0,BLACK,Electric,N,ECO ELITE LIMOUSINE LLC,2243 N. LISTER AVE.,CHICAGO,IL,60614.0,,,8730Livery
6146,7565,VIOLATION,POLARIS,GEM E6,2019.0,BLACK,Electric,N,SHEP & COMPANY LLC,4720 S. DR MARTIN LUTHER KING JR DR.,CHICAGO,IL,60615.0,,,7565Livery
7792,1032,FORECLOSURE,TESLA,MODEL 3,2021.0,GREEN,Electric,N,NICKI INC.,6500 N. WESTERN AVE.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1032Taxi
8336,2642,VIOLATION,TESLA,Y,2022.0,GREEN,Electric,N,NICKI INC.,6500 N. WESTERN AVE.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",2642Taxi
8629,4083,SURRENDER,TESLA,Y,2020.0,GREEN,Electric,N,SCORPIO INC.,6500 N. WESTERN AVE.,CHICAGO,IL,60645.0,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",4083Taxi
9415,128,ACTIVE,MAINSTREET,SMASHCAB,2008.0,BLACK,Electric,N,"AUSTIN PEDICAB COMPANY, LLC",1015 N. HALSTED ST.,CHICAGO,IL,60642.0,,,128Pedicab
9807,7699,VIOLATION,POLARIS,GEM E6,2019.0,WHITE,Electric,N,SHEP & COMPANY LLC,4720 S. DR MARTIN LUTHER KING JR DR.,CHICAGO,IL,60615.0,,,7699Livery
9998,8011,ACTIVE,TESLA,MODEL Y,2022.0,BLACK,Electric,N,NUR MOTORS LLC,3950 N. LAKE SHORE DR.,CHICAGO,IL,60613.0,,,8011Livery
10124,7461,VIOLATION,POLARIS,GEM E6,2019.0,BLACK,Electric,N,SHEP & COMPANY LLC,4720 S. DR MARTIN LUTHER KING JR DR.,CHICAGO,IL,60615.0,,,7461Livery
11223,7763,ACTIVE,BMW,750LI,2023.0,SILVER,Electric,N,ARDA INC.,3630 N. KENNETH AVE.,CHICAGO,IL,60641.0,,,7763Livery
11553,8647,ACTIVE,CADILLAC,LYRIQ,2024.0,BLACK,Electric,N,WHERE 2 LIMOUSINE LIMITED,6963 N. BELL AVE.,CHICAGO,IL,60645.0,,,8647Livery
11921,8321,ACTIVE,TESLA,Y,2021.0,BLACK,Electric,N,SUFIYAN I INC,3760 N. OKETO AVE.,CHICAGO,IL,60634.0,,Owner Manager,8321Livery
12142,9874,VIOLATION,TUK TUK,L5 LIMO GT,2018.0,WHITE,Electric,N,TUK TUK CHICAGO LLC,501 N. WELLS ST.,CHICAGO,IL,60654.0,,,9874Low Speed Electric
14059,125,ACTIVE,MAINSTREET,SMASHCAB,2008.0,BLACK,Electric,N,"AUSTIN PEDICAB COMPANY, LLC",1015 N. HALSTED ST.,CHICAGO,IL,60642.0,,,125Pedicab
14596,128,ACTIVE,MAINSTREET,SMASHCAB,2008.0,BLACK,Electric,N,"AUSTIN PEDICAB COMPANY, LLC",1015 N. HALSTED ST.,CHICAGO,IL,60642.0,,,128Pedicab
14733,124,ACTIVE,MAINSTREET,BOARDWALK,2008.0,BLACK,Electric,N,"AUSTIN PEDICAB COMPANY, LLC",1015 N. HALSTED ST.,CHICAGO,IL,60642.0,,,124Pedicab
14746,7730,VIOLATION,POLARIS,GEM E6,2019.0,BLACK,Electric,N,SHEP & COMPANY LLC,4720 S. DR MARTIN LUTHER KING JR DR.,CHICAGO,IL,60615.0,,,7730Livery
14869,120,ACTIVE,PRECISION,PP6,2018.0,BLACK,Electric,N,"AUSTIN PEDICAB COMPANY, LLC",1015 N. HALSTED ST.,CHICAGO,IL,60642.0,,,120Pedicab
15031,9695,ACTIVE,TESLA,Y,2021.0,BLACK,Electric,N,SIKDER IMAM,6105 N. SEELEY AVE.,CHICAGO,IL,60659.0,,,9695Livery
15420,9871,VIOLATION,TUK TUK,L5 LIMO GT,2018.0,WHITE,Electric,N,TUK TUK CHICAGO LLC,501 N. WELLS ST.,CHICAGO,IL,60654.0,,,9871Low Speed Electric
16245,4659,VIOLATION,TOYOTA,BZ4X,2023.0,WHITE,Electric,N,CHICAGO MEDALLION FOUR LLC.,9696 W. FOSTER AVE.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,4659Taxi
