,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
56,4595,VIOLATION,DODGE,CARAVAN,2017.0,WHITE,Flex Fuel,N,AMC CAB CORP.,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,4595Taxi
129,4540,VIOLATION,DODGE,GRAND CARAVAN,2017.0,WHITE,Flex Fuel,Y,ELSTON FOUR LLC,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,4540Taxi
148,1759,VIOLATION,DODGE,CARAVAN,2013.0,WHITE,Flex Fuel,N,1759 INC.,2601 W. PETERSON AVE.,CHICAGO,IL,60659.0,DIS-AFFILIATED,Owner Manager,1759Taxi
248,6897,REVOKED,DODGE,GRAND CARAVAN,2013.0,WHITE,Flex Fuel,N,SHAZIF CAB CORP.,9696 W. FOSTER AVE.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6897Taxi
252,5774,VIOLATION,FORD,CROWN VICTORIA,2011.0,WHITE,Flex Fuel,N,THOMAS A. ZUMMO,1756 W. CULLERTON ST.,CHICAGO,IL,60608.0,DIS-AFFILIATED,Owner Manager,5774Taxi
296,5993,ACTIVE,DODGE,GRAND CARAVAN,2017.0,YELLOW,Flex Fuel,Y,FANTASTIC TAXI INC,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641.0,Yellow Cab Association,Owner Manager,5993Taxi
369,6128,ACTIVE,FORD,ESCAPE,2012.0,WHITE/BLACK/STRIPES,Flex Fuel,N,ADE CROWN INC,11820 S. STATE ST.,CHICAGO,IL,60628.0,Independent1,Owner-Operator,6128Taxi
377,6761,ACTIVE,DODGE,GRAND CARAVAN,2015.0,WHITE,Flex Fuel,Y,SALMA & YOUSEF CAB INC.,9696 W. FOSTER AVE.,CHICAGO,IL,60656.0,Flash Cab Co,Owner Manager,6761Taxi
404,2518,VIOLATION,DODGE,CARAVAN,2013.0,WHITE,Flex Fuel,Y,ARYA RIDE INC.,5136 N. WESTERN AVE.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,2518Taxi
617,3086,VIOLATION,FORD,CROWN VICTORIA,2009.0,WHITE,Flex Fuel,N,C & D CAB CO,8001 S. DR MARTIN LUTHER KING JR DR.,CHICAGO,IL,60619.0,EXPIRED AFFILIATION,Owner Manager,3086Taxi
650,2780,ACTIVE,TOYOTA,SIENNA,2023.0,WHITE,Flex Fuel,Y,G.G. TRANSIT CORP.,9696 W. FOSTER AVE.,CHICAGO,IL,60656.0,Flash Cab Co,Owner-Operator,2780Taxi
775,3251,SURRENDER,DODGE,GRAND CARAVAN,2017.0,WHITE,Flex Fuel,Y,BESSIES CAB CORP,9696 W. FOSTER AVE.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,3251Taxi
817,6507,VIOLATION,DODGE,CARAVAN,2014.0,WHITE,Flex Fuel,Y,TORIA INC.,5136 N. WESTERN AVE.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,6507Taxi
952,138,ACTIVE,DODGE,CARAVAN,2016.0,BLUE/WHITE,Flex Fuel,Y,MCCAB XXIII CORP.,4626 W. CORNELIA AVE.,CHICAGO,IL,60641.0,Sun Taxi Association Inc,"Sun Financial Services, Inc.",138Taxi
1002,4175,ACTIVE,DODGE,CARAVAN,2013.0,WHITE,Flex Fuel,N,"LEMPIRA, INC.",2601 W. PETERSON AVE.,CHICAGO,IL,60659.0,City Service Taxi Association,Owner-Operator,4175Taxi
1085,6898,VIOLATION,DODGE,GRAND CARAVAN,2013.0,WHITE,Flex Fuel,Y,SHAZIF CAB CORP.,9696 W. FOSTER AVE.,CHICAGO,IL,60656.0,DIS-AFFILIATED,Owner Manager,6898Taxi
1182,2711,VIOLATION,DODGE,CARAVAN,2014.0,WHITE,Flex Fuel,Y,SPHAN RIDE INC.,5136 N. WESTERN AVE.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,2711Taxi
1304,5402,VIOLATION,DODGE,GRAND CARAVAN,2012.0,BLUE,Flex Fuel,Y,PERSISTENCE TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630.0,NORTHSTAR AFFILIATION,Star North Management LLC,5402Taxi
1335,739,VIOLATION,FORD,ESCAPE,2012.0,WHITE,Flex Fuel,N,MEDALLION FUNDING CHICAGO CORP IV,4536 N. ELSTON AVE.,CHICAGO,IL,60630.0,DIS-AFFILIATED,Owner Manager,739Taxi
1379,4260,VIOLATION,DODGE,CARAVAN,2012.0,WHITE,Flex Fuel,N,4260 CAB CORPORATION,5136 N. WESTERN AVE.,CHICAGO,IL,60625.0,DIS-AFFILIATED,Owner Manager,4260Taxi
