,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
451,16,INACTIVE,CINDERELLA,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611.0,,,16Horse Drawn Carriage
797,20,INACTIVE,TROYER,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611.0,,,20Horse Drawn Carriage
867,47,INACTIVE,KIMBALL,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610.0,,,47Horse Drawn Carriage
1294,32,INACTIVE,,,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610.0,,,32Horse Drawn Carriage
1351,11,INACTIVE,YODER,LANDAU,1989.0,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640.0,,,11Horse Drawn Carriage
1963,59,INACTIVE,MARTIN,VIS-A-VIS,,,Horse,N,"STEP-IN-TIME CARRIAGE, LTD",1541 N. WELLS ST.,CHICAGO,IL,60610.0,,,59Horse Drawn Carriage
2118,43,INACTIVE,SCHWARTZ,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610.0,,,43Horse Drawn Carriage
2429,45,INACTIVE,SCHWARTZ,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610.0,,,45Horse Drawn Carriage
2513,1,INACTIVE,MARTIN,VIS-A-VIS,2015.0,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640.0,,,1Horse Drawn Carriage
2555,33,INACTIVE,MILLER,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610.0,,,33Horse Drawn Carriage
2765,24,INACTIVE,MARTIN,VIS-A-VIS,2010.0,WHITE,Horse,N,GREAT LAKES HORSE AND CARRIAGE LLC,2844 N. HARDING AVE.,CHICAGO,IL,60618.0,,,24Horse Drawn Carriage
2918,44,INACTIVE,MILLER,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610.0,,,44Horse Drawn Carriage
2985,19,INACTIVE,ANDERSON,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611.0,,,19Horse Drawn Carriage
4288,28,INACTIVE,MARTIN,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610.0,,,28Horse Drawn Carriage
4305,29,INACTIVE,ANDERSON,VIS-A-VIS,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610.0,,,29Horse Drawn Carriage
5002,39,INACTIVE,MILLER,LANDAU,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610.0,,,39Horse Drawn Carriage
