,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
5,1273,VIOLATION,FORD,ESCAPE,2012.0,WHITE,Hybrid,N,RACHEL TAXI INC,2617 S. WABASH AVE.,CHICAGO,IL,60616.0,EXPIRED AFFILIATION,Owner Manager,1273Taxi
8,2421,ACTIVE,TOYOTA,SIENNA,2023.0,WHITE/BLUE/STRIPES,Hybrid,Y,A ONE RIDE INC,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646.0,Blue Ribbon Assn Inc,Owner-Operator,2421Taxi
16,6090,ACTIVE,TOYOTA,PRIUS,2013.0,GRAY/WHITE,Hybrid,N,ANKOBER INC,6550 N. CLARK ST.,CHICAGO,IL,60626.0,Choice Taxi Association Inc,Owner-Operator,6090Taxi
18,1929,VIOLATION,TOYOTA,CAMRY,2011.0,WHITE,Hybrid,N,ASECMAN INC.,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,1929Taxi
20,2283,ACTIVE,TOYOTA,CAMRY,2014.0,GRAY/WHITE,Hybrid,N,ETHIO TRANS INC,7405 N. WESTERN AVE.,CHICAGO,IL,60645.0,Choice Taxi Association Inc,Owner-Operator,2283Taxi
22,6250,VIOLATION,TOYOTA,CAMRY,2015.0,WHITE,Hybrid,N,INDUS CAB CO,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,6250Taxi
23,5388,ACTIVE,TOYOTA,CAMRY,2012.0,BLUE/WHITE,Hybrid,N,NEW CITY CAB CORP,4626 W. CORNELIA AVE.,CHICAGO,IL,60641.0,Sun Taxi Association Inc,"Sun Financial Services, Inc.",5388Taxi
25,5539,SURRENDER,TOYOTA,CAMRY,2016.0,WHITE,Hybrid,N,"TAXI MEDALLION GROUP, LLC SERIES 30",4175 N. ELSTON AVE.,CHICAGO,IL,60618.0,DIS-AFFILIATED,Owner Manager,5539Taxi
26,2250,VIOLATION,TOYOTA,CAMRY,2012.0,WHITE,Hybrid,N,MEMON EXPRESS INC.,3800 N. MILWAUKEE AVE.,CHICAGO,IL,60641.0,DIS-AFFILIATED,Owner Manager,2250Taxi
28,1161,ACTIVE,TOYOTA,CAMRY,2013.0,WHITE/BLUE/STRIPES,Hybrid,N,BELLO CAB INC,4020 W. GLENLAKE AVE.,CHICAGO,IL,60646.0,Blue Ribbon Assn Inc,Owner-Operator,1161Taxi
