,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
61,77,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,77Pedicab
103,131,ACTIVE,MANMADE,WAGON,2011.0,BLACK,Pedal,N,TROTTERS LLC,4955 N. MANGO AVE.,CHICAGO,IL,60630.0,,,131Pedicab
168,186,ACTIVE,MANMADE,BROADWAY,2014.0,BLACK,Pedal,N,MBL PEDICAB LLC,8708 W. BERWYN AVE.,CHICAGO,IL,60656.0,,,186Pedicab
227,69,VIOLATION,MAINSTREET,CLASSIC,0.0,RED/BLACK,Pedal,N,EMPIRE PEDICAB LLC,318 W. ADAMS ST.,CHICAGO,IL,60606.0,,,69Pedicab
261,142,ACTIVE,VIP,VIP,2018.0,BLUE/WHITE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,142Pedicab
304,47,ACTIVE,MAINSTREET,BROADWAY,2010.0,WHITE,Pedal,N,"WINDY CITY PEDICAB, LTD.",1901 S. WESTERN AVE.,CHICAGO,IL,60608.0,,,47Pedicab
380,100,ACTIVE,VIP,VIP,2023.0,BLUE,Pedal,N,CHICAGO PEDICAB LLC,1015 N. HALSTED ST.,CHICAGO,IL,60642.0,,,100Pedicab
442,52,ACTIVE,SCHWINN,NONE,2014.0,GREEN,Pedal,N,BM PEDICAB INC.,4450 N. KEDZIE AVE.,CHICAGO,IL,60625.0,,,52Pedicab
447,152,ACTIVE,VIP,CLASSIC,2014.0,GREEN,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,152Pedicab
473,90,ACTIVE,VIP,VIP,2014.0,BLUE/WHITE,Pedal,N,PEDICAB RIDE GUYS LLC,1919 S. MICHIGAN AVE. AVE.,CHICAGO,IL,60616.0,,,90Pedicab
577,83,VIOLATION,VIP,5 SEATER,2014.0,RED,Pedal,N,EASY RIDER PEDICAB LLC,2884 S. ARCHER AVE.,CHICAGO,IL,60608.0,,,83Pedicab
