Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,Record ID,Vehicle Type
RESERVED,CHEVROLET,EXPRESS,2014.0,BLACK,Bio-Diesel,N,CHICAGO PRIVATE TOURS LLC,CHICAGO,12009Charter Sightseeing,12009Charter
INACTIVE,MERCEDES,SPRINTER,2010.0,SILVER,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,12248Charter Sightseeing,12248Charter
INACTIVE,VAN HOOL,TD925,2008.0,RED,Bio-Diesel,N,"TRT TRANSPORTATION, INC.",CHICAGO,13527Charter Sightseeing,13527Charter
INACTIVE,MERCEDES,SPRINTER,2010.0,SILVER,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,12248Charter Sightseeing,12248Charter
INACTIVE,VAN HOOL,TD925,2008.0,RED,Bio-Diesel,N,"TRT TRANSPORTATION, INC.",CHICAGO,13528Charter Sightseeing,13528Charter
INACTIVE,MERCEDES,SPRINTER,2015.0,BLACK,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,12025Charter Sightseeing,12025Charter
INACTIVE,VAN HOOL,TD925,2008.0,RED,Bio-Diesel,N,"TRT TRANSPORTATION, INC.",CHICAGO,13513Charter Sightseeing,13513Charter
INACTIVE,MERCEDES,SPRINTER,2012.0,WHITE,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,13830Charter Sightseeing,13830Charter
INACTIVE,MERCEDES,SPRINTER,2016.0,SILVER,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,12026Charter Sightseeing,12026Charter
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,256Taxi,256Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,AMBROSLY INC,CHICAGO,1616Taxi,1616Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,4796Taxi,4796Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,13637Medicar,13637Medicar
REVOKED,VPG,MV-1,2011.0,WHITE,Compressed Natural Gas,N,DESIREE AND MONIQUE CAB CORP.,CHICAGO,5160Taxi,5160Taxi
REVOKED,DODGE,CARAVAN,2011.0,WHITE,Compressed Natural Gas,N,WEST END TAXI CORP.,CHICAGO,1803Taxi,1803Taxi
VIOLATION,TOYOTA,COROLLA,2017.0,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,CHICAGO,862Taxi,862Taxi
VIOLATION,FORD,ESCAPE,2012.0,WHITE,Compressed Natural Gas,N,MCCAB I CORP.,CHICAGO,2528Taxi,2528Taxi
VIOLATION,CHEVROLET,IMPALA,2009.0,WHITE,Compressed Natural Gas,N,INF CAB CORPORATION,CHICAGO,4499Taxi,4499Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,MONETA TAXI INC.,CHICAGO,2394Taxi,2394Taxi
VIOLATION,DODGE,GRAND CARAVAN,2013.0,WHITE,Compressed Natural Gas,Y,MIRZASULEMAN CORP,CHICAGO,6955Taxi,6955Taxi
FORECLOSURE,DODGE,CARAVAN,2012.0,GREEN,Compressed Natural Gas,Y,LIBRA TAXI INC,CHICAGO,540Taxi,540Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO, INC.",CHICAGO,6409Taxi,6409Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,SLSJETS III CAB CORP.,CHICAGO,593Taxi,593Taxi
VIOLATION,TOYOTA,COROLLA,2017.0,WHITE,Compressed Natural Gas,N,PETANI CAB CORP,CHICAGO,1112Taxi,1112Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,TRIA HACKING CORP.,CHICAGO,6715Taxi,6715Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,13632Medicar,13632Medicar
VIOLATION,FORD,ESCAPE,2010.0,WHITE,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,6418Taxi,6418Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,"TUDOR CITY HOLDINGS, INC.",CHICAGO,4980Taxi,4980Taxi
SURRENDER,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,TAXI MEDALLION GROUPLLC SERIESXXIII,CHICAGO,2433Taxi,2433Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,13634Medicar,13634Medicar
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GALA CAB CORP.,CHICAGO,250Taxi,250Taxi
VIOLATION,FORD,ESCAPE,2011.0,GREEN,Compressed Natural Gas,N,ARIES TAXI CAB INC,CHICAGO,6870Taxi,6870Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,13635Medicar,13635Medicar
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"PRETTY RACHEL IN CHICAGO, INC.",CHICAGO,218Taxi,218Taxi
INACTIVE,DODGE,GRAND CARAVAN,2011.0,SILVER,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,13630Medicar,13630Medicar
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JULY CAB CORP.,CHICAGO,5196Taxi,5196Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,707Taxi,707Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BELKIDS TAXI LLC,CHICAGO,2106Taxi,2106Taxi
SURRENDER,DODGE,GRAND CARAVAN,2016.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,748Taxi,748Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,920Taxi,920Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,BROWN EYES CAB CORP.,CHICAGO,5189Taxi,5189Taxi
VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 33 LLC,CHICAGO,770Taxi,770Taxi
VIOLATION,DODGE,GRAND CARAVAN,2013.0,WHITE,Compressed Natural Gas,Y,GOODBAR TAXI CORP II,CHICAGO,6236Taxi,6236Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,N,DIAL CAB COMPANY,CHICAGO,3142Taxi,3142Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,AQUA ZONE CAB CO.,CHICAGO,1714Taxi,1714Taxi
SURRENDER,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,TAXI MEDALLION GROUPLLC SERIESXXIII,CHICAGO,2422Taxi,2422Taxi
INACTIVE,FORD,E350,2010.0,WHITE,Compressed Natural Gas,N,"SCR MEDICAL TRANSPORTATION, INC.",CHICAGO,12505Medicar,12505Medicar
VIOLATION,VPG,MV-1,2012.0,GREEN,Compressed Natural Gas,Y,NECT 11 LLC,CHICAGO,1222Taxi,1222Taxi
VIOLATION,FORD,ESCAPE,2011.0,GREEN,Compressed Natural Gas,N,ARIES TAXI CAB INC,CHICAGO,6870Taxi,6870Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,GEM AND R CAB CORP,CHICAGO,3062Taxi,3062Taxi
VIOLATION,CHEVROLET,IMPALA,2009.0,WHITE,Compressed Natural Gas,N,UBOO CAB CORPORATION,CHICAGO,4568Taxi,4568Taxi
VIOLATION,VPG,MV-1,2014.0,WHITE,Compressed Natural Gas,Y,AQUA ZONE CAB CO.,CHICAGO,1899Taxi,1899Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,"CHICAGO POLO VIII, INC.",CHICAGO,5319Taxi,5319Taxi
VIOLATION,FORD,CROWN VICTORIA,2010.0,WHITE,Compressed Natural Gas,N,MCCAB I CORP.,CHICAGO,2525Taxi,2525Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,ZHANET CAB CORP,CHICAGO,6258Taxi,6258Taxi
VIOLATION,VPG,MV-1,2012.0,WHITE,Compressed Natural Gas,Y,JULY CAB CORP.,CHICAGO,1775Taxi,1775Taxi
